date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-05-17,301,2160.79,616.0,forge,4,5,2024,0
2024-05-18,311,2839.68,807.0,forge,5,5,2024,1
2024-05-19,362,3213.25,942.0,forge,6,5,2024,1
2024-05-20,223,1812.0,526.0,forge,0,5,2024,0
2024-05-21,224,1753.68,502.0,forge,1,5,2024,0
2024-05-22,214,1834.8600000000001,527.0,forge,2,5,2024,0
2024-05-23,253,1842.57,527.0,forge,3,5,2024,0
2024-05-24,307,2291.18,647.0,forge,4,5,2024,0
2024-05-25,312,2998.71,848.0,forge,5,5,2024,1
2024-05-26,229,2229.82,648.0,forge,6,5,2024,1
2024-05-27,215,1807.54,527.0,forge,0,5,2024,0
2024-05-28,240,1959.64,568.0,forge,1,5,2024,0
2024-05-29,246,1866.3700000000001,544.0,forge,2,5,2024,0
2024-05-30,267,1916.53,556.0,forge,3,5,2024,0
2024-05-31,315,2313.2400000000002,656.0,forge,4,5,2024,0
2024-06-01,293,3123.35,874.0,forge,5,6,2024,1
2024-06-02,243,2459.35,682.0,forge,6,6,2024,1
2024-06-03,202,1748.6100000000001,498.0,forge,0,6,2024,0
2024-06-04,224,1850.23,528.0,forge,1,6,2024,0
2024-06-05,221,1749.92,500.0,forge,2,6,2024,0
2024-06-06,216,1626.21,471.0,forge,3,6,2024,0
2024-06-07,267,2005.09,577.0,forge,4,6,2024,0
2024-06-08,295,2522.71,727.0,forge,5,6,2024,1
2024-06-09,353,3038.31,870.0,forge,6,6,2024,1
2024-06-10,218,1774.64,513.0,forge,0,6,2024,0
2024-06-11,242,1845.93,526.0,forge,1,6,2024,0
2024-06-12,216,1829.65,533.0,forge,2,6,2024,0
2024-06-13,243,1671.81,478.0,forge,3,6,2024,0
2024-06-14,291,2059.08,577.0,forge,4,6,2024,0
2024-06-15,303,2488.19,687.0,forge,5,6,2024,1
2024-06-16,188,1943.15,557.0,forge,6,6,2024,1
2024-06-17,234,1805.97,508.0,forge,0,6,2024,0
2024-06-18,214,2065.89,587.0,forge,1,6,2024,0
2024-06-19,233,1907.93,554.0,forge,2,6,2024,0
2024-06-20,212,1955.95,557.0,forge,3,6,2024,0
2024-06-21,301,2279.99,642.0,forge,4,6,2024,0
2024-06-22,510,3910.52,1141.0,forge,5,6,2024,1
2024-06-23,267,2592.02,758.0,forge,6,6,2024,1
